ITEMID	LEGISLAT	CATEG	SCRUTIN	PAGE	POUR	CONTRE	TITLE
1002	1	"Investiture"	2	67	240	21	"Bidault"
1005	1	"Other"	12	285	527	55	"Budget, passage"
1006	1	"Other"	14	334	152	434	"Budget, Marin amd., war damage"
1008	1	"Other"	21	84	32	540	"Ramadier cabinet, o.j.,O'Cottereau-Laniel"
1010	1	"Other"	37	297	238	176	"Drome elections,invalidation"
1011	1	"Confidence"	45	417	518	58	"o.j., economic policy"
1013	1	"Random"	67	961	389	181	"Viollette:investigate events 1933-45, committee referral"
1015	1	"Confidence"	101	1473	360	186	"o.j., Communist ministers"
1016	1	"Other"	102	1577	197	410	"o.j., Duclos, Madagascar"
1017	1	"Other"	103	1578	363	38	"o.j., Pleven-Queuille,Madagascar"
1019	1	"Other"	124	2212	133	437	"Pleven: strike regulation., urgency"
1020	1	"Random"	131	2409	129	461	"Ribeyre: Eco. & Financial resources"
1021	1	"Confidence"	158	2768	331	247	"o.j. Ramadier"
1022	1	"Random"	218	3814	184	409	"Villon: military credits,provisional"
1023	1	"Other"	244	4207	113	465	"Statute for Algeria (adjournment: Cudene…)"
1024	1	"Confidence"	245	4249	404	184	"Municipal elections"
1025	1	"Other"	277	4561	315	277	"Statute for Algeria (consid. of govt. proj.)"
1026	1	"Other"	302	4745	280	304	"Algerian statute (1st college), Giacobbi"
1028	1	"Other"	305	4749	320	88	"Algerian statute:passage"
1029	1	"Other"	313	4829	323	85	"Algerian statute:2d reading, passage"
1030	1	"Other"	314	4861	312	97	"Mines, subsidy"
1031	1	"Confidence"	315	4876	292	243	"Coal"
1032	1	"Confidence"	316	4989	300	280	"Ramadier., cabinet after reorg."
1033	1	"Investiture"	323	5120	300	277	"Blum"
1034	1	"Investiture"	324	5129	412	184	"Schuman"
1035	1	"Confidence"	326	5209	322	186	"Schuman, comp. of cabinet"
1036	1	"Random"	342	5366	404	184	"Defense of Republic, art. 2"
1037	1	"Other"	367	5501	401	186	"Strike law, entire bill"
1038	1	"Random"	387	5745	182	409	"Parisian transports, Demusois amend.,art.11"
1039	1	"Random"	391	5750	277	287	"Parisian transports, Benoist amend., art.14"
1040	1	"Random"	432	6190	82	323	"Anti-inflation law, Mallez & Ribeyre"
1041	1	"Other"	458	6224	298	269	"Anti-inflation law, entirety"
1042	1	"Other"	520	11	183	346	"Anti-inflation law:Duclos, prev.question"
1043	1	"Confidence"	527	98	308	272	"Schuman, anti-inflation bill, amend."
1044	1	"Confidence"	528	99	306	273	"Schuman, anti-inflation bill, amend."
1045	1	"Confidence"	529	101	308	271	"Schuman, anti-inflation bill, amend."
1046	1	"Confidence"	531	103	308	269	"Schuman, anti-inflation bill, amend."
1047	1	"Confidence"	535	109	307	274	"Schuman, anti-inflation bill, amend."
1048	1	"Other"	537	111	309	263	"Anti-inflation'bill, passage"
1049	1	"Other"	541	187	383	182	"Minutes, 14 Jan"
1050	1	"Other"	555	316	309	289	"5000-franc bills"
1051	1	"Other"	558	338	308	242	"Regulation of exchange rates"
1052	1	"Confidence"	626	1038	291	268	"5000-franc bills"
1053	1	"Other"	640	1276	285	303	"Special levy:include in agenda"
1054	1	"Other"	649	1450	285	301	"Special levy: abrogation of low"
1055	1	"Other"	651	1485	290	304	"Special levy:Viollette amend."
1056	1	"Other"	671	1571	309	254	"Special levy:passage"
1057	1	"Other"	683	1690	415	183	"Lowering cost of living, Bidault, o.j."
1058	1	"Other"	725	2057	318	277	"Colliery schools, postpone debate"
1059	1	"Random"	737	2294	264	183	"Tax revision (amenagements fiscaux)art. 52"
1060	1	"Random"	751	2460	397	188	"May 8 as holiday: sent to committee"
1061	1	"Other"	776	2695	299	296	"Colliery schools"
1062	1	"Other"	783	2704	298	292	"Colliery schools"
1063	1	"Other"	789	2712	297	267	"Colliery schools law, passage"
1064	1	"Other"	799	2960	183	321	"Mayer levy, o.j."
1065	1	"Confidence"	804	3091	402	183	"Civil servants"
1066	1	"Other"	815	3199	353	185	"Civil servants, passage"
1067	1	"Random"	824	3313	410	183	"Discussion date: agenda & veterans budget"
1068	1	"Other"	830	3423	414	183	"Poinso-Chapuis, refer to committee, P.C.F."
1069	1	"Other"	831	3425	192	405	"Poinso-Chapuis, abrogation"
1070	1	"Other"	838	3609	183	408	"London agreements, o.j. P.C.F."
1071	1	"Other"	839	3611	296	287	"London agreements, o.j., Scherer"
1072	1	"Other"	840	3612	297	289	"London agreements, text"
1073	1	"Other"	893	4404	341	184	"Marshall Plan"
1074	1	"Other"	898	4432	276	177	"Military credits, Capdeville amend."
1075	1	"Other"	900	4450	183	407	"Military credits, Capdeville amend.,P.C.F."
1076	1	"Confidence"	949	4861	297	214	"Capdeville amendment"
1077	1	"Investiture"	950	4909	352	190	"Marie"
1078	1	"Other"	951	4947	330	191	"Marie govt., postpone interpellation"
1079	1	"Other"	954	4994	183	405	"Billoux ordinance abrogation"
1080	1	"Other"	958	5084	183	406	"Public health: P.C.F. amendment"
1081	1	"Random"	959	5085	279	309	"Public Health Cordonnier amend."
1082	1	"Other"	971	5269	288	286	"Not to adjourn before Indo-China debate"
1083	1	"Random"	986	5601	83	306	"Eco. and financial recovery, Triboulet amend."
1084	1	"Other"	992	5609	187	386	"Eco. and financial recovery, q. pr."
1085	1	"Other"	1012	5705	325	215	"Eco. and financial recovery, entire bill"
1086	1	"Random"	1022	5800	324	238	"Senators, election"
1087	1	"Other"	1039	5838	335	209	"Eco. and financial recovery, entire bill"
1088	1	"Other"	1044	5885	183	404	"Raise number coopted Senators to 50"
1089	1	"Random"	1047	5889	184	368	"Senators, art. 1, Pronteau amend."
1090	1	"Other"	1048	5943	243	127	"Cantonal elections, Fonlupt-E. bill"
1091	1	"Random"	1074	5978	93	144	"Senators, art. 56, Rabier amend."
1092	1	"Other"	1080	6016	344	185	"Postpone interpellations on Indo-China"
1093	1	"Other"	1097	6159	162	211	"Cantonal elections: Barrachin o. pr."
1094	1	"Other"	1098	6177	187	363	"Cantonal elections: Dreyfus-Schmidt bill"
1095	1	"Other"	1099	6178	163	211	"Cantonal elections: Raulin bill"
1096	1	"Other"	1101	6181	262	234	"Cantonal elections: Fonlupt-E. bill, art. I"
1097	1	"Other"	1112	6237	208	166	"Cantonal elections: entire bill"
1098	1	"Investiture"	1143	6432	322	185	"Schuman"
1099	1	"Confidence"	1144	6468	289	295	"Schuman, comp. of 2d cabinet"
1100	1	"Investiture"	1145	6505	351	196	"Queuille"
1101	1	"Other"	1146	6536	340	227	"Postpone interpellation on govt. policy"
1102	1	"Other"	1172	6729	291	251	"Tax bill"
1103	1	"Other"	1176	6768	415	174	"Senate: complete renewal"
1104	1	"Other"	1191	6877	291	286	"Cantonal elections(1949), urgency"
1105	1	"Other"	1194	6881	294	281	"Cantonal elections, March 1949"
1106	1	"Other"	1199	6915	287	269	"Tax increase; after Senate"
1107	1	"Other"	1201	6930	274	299	"Cantonal elections, postpone, after Senate"
1108	1	"Other"	1210	7206	164	316	"Investigation of PCF and Populaire,o.j. PCF"
1109	1	"Other"	1211	7207	180	373	"RPI-PCF investigation proposal, o.j."
1110	1	"Confidence"	1212	7209	338	212	"Investigations: majority o.j."
1111	1	"Other"	1221	7383	181	420	"Ruhr: o.j. PCF"
1112	1	"Other"	1222	7385	61	320	"Ruhr: o.j. Capitant"
1113	1	"Other"	1223	7386	411	182	"Ruhr: against Anglo-American policy"
1114	1	"Other"	1224	7387	371	182	"Ruhr:o.j., passage"
1115	1	"Other"	1251	7559	226	363	"Financial bill: budget procedure"
1116	1	"Other"	1253	7562	341	229	"Financial bill:adoption"
1117	1	"Random"	1276	7743	239	344	"Bill on credit-rentiers, Auguet amend."
1118	1	"Confidence"	1280	7972	299	245	"Budget"
1119	1	"Confidence"	1282	7974	299	246	"Budget"
1120	1	"Other"	1285	7978	271	302	"Budget: amend. (war damages), Crouzier"
1121	1	"Other"	1300	7998	323	261	"Budget: entirety"
1122	1	"Other"	1308	8100	274	306	"Budget: postpone study of fiscal reform"
1123	1	"Other"	1324	8358	324	245	"Budget, after Senate"
1124	1	"Random"	1340	8379	288	71	"Military budget, provisional 12th"
1125	1	"Random"	1351	156	335	147	"Gasoline tax"
1126	1	"Random"	1363	215	408	182	"Imprisoned miners (interpellation)"
1127	1	"Other"	1369	331	184	385	"URR against Marie (ec. coll.), o.j."
1128	1	"Other"	1370	332	195	370	"Capitant against Marie, o.j."
1129	1	"Other"	1371	334	368	205	"Delcos against Marie, o.j."
1132	1	"Other"	1382	444	183	374	"URR against Marie, o.j."
1133	1	"Other"	1383	446	227	335	"Legendre against Marie, o.j."
1134	1	"Other"	1384	447	326	219	"Delcos against Marie"
1136	1	"Other"	1399	616	392	183	"Postpone interpellations on Lecourt appt"
1137	1	"Other"	1415	728	182	419	"Miners' vote: P.R."
1138	1	"Random"	1444	847	182	406	"Renewal of overseas conseils genera"
1139	1	"Random"	1448	852	233	359	"Agenda: date for Indo-China debate"
1140	1	"Other"	1452	926	52	503	"Terrenoire re prosecution of P.C."
1141	1	"Other"	1453	927	380	182	"Majority, prosecution of P.C."
1142	1	"Other"	1467	1249	362	184	"Budget (balanced)"
1143	1	"Random"	1468	1287	186	376	"Election of miners' delegates (2d read)"
1144	1	"Other"	1502	1600	378	193	"Interpellations, Bao Dai accords, territorial assembly"
1145	1	"Other"	1507	1618	339	201	"Indo-China, entire bill, after Senate"
1146	1	"Other"	1508	1664	196	391	"Censure, m. pr. PCF"
1147	1	"Other"	1509	1665	228	350	"Censure, Capitant motion"
1148	1	"Other"	1510	1667	370	183	"Postpone PCF censure"
