MID	NAME	ID1	ID2	ID3	PARTY1	PARTY2	PARTY3	PARTY1N	PARTY2N	PARTY3N	GMP12	X12	Y12	CLA12_O	X12_O	Y12_O	GMP22	X22	Y22	CLA22_O	X22_O	Y22_O	GMP32	X32	Y32	CLA32_O	X32_O	Y32_O	DIM1PL	DIM2PL	CLA_PO	X_PO	Y_PO	SCAL7121	SCAL7122	SCAL7111	SCAL7112	SCALE781	SCALE782	SCALE751	SCALE752	SCALE741	SCALE742	SCA7101	SCA7102	SCA7103	SCA731	SCA732	SCA771	SCA772	SCA761	SCA762	SCA791	SCA792	MORICE
1	"Abelin"	1	1	1	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.936	.832	.32	.994	.5811456	-.1634472	.819	.755	.528	.945	.384864	.0202851	.912	.629	.666	.992	.3299808	.2140416	-.513	-.05	.968	.017	-.506			3	0							2	"not dissident"	0									
2	"Ahnne"	2			"UDSR"	"Not seated"	"Not seated"	"Radical"	"Not Seated"	"Not Seated"	.795	.426	.323	.93	.4047264	.6278448													-.48	.19	.938	.082	-.459																2	3					
3	"Airoldi"	3			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592													.587	0	1	.465	.654																						
4	"Ait Ali"		2		"Not seated"	"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"							.812	.738	.428	.942	.388512	.0608553							-.532	-.09	.971	.014	-.531			3	1																		
5	"Aku"	4			"Non Inscrit"	"Not seated"	"Not seated"	"Non-Affiliated"	"Not Seated"	"Not Seated"	.525	.295	-.532	.817	-.1011816	-.8898792													-.185	-.221	.734	.002	-.057																						
6	"Alduy"			2	"Not seated"	"Not seated"	"Socialiste"	"Not seated"	"Not Seated"	"Socialist"													.951	.361	.933	1	0	.5767232	-.147	-.719	1	.116	-.086																						
7	"Allion"			4	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.691	.913	-.048	.889	.7833328	-.5514544	-.271	.811	.889	.052	-.127																						
8	"Alliot"	5		3	"Communiste"	"Not seated"	"IPAS"	"Communist"	"Not Seated"	"Right"	.989	-.871	-.492	1	-1.027382	-.4358592							.781	.907	-.047	.941	.5172672	-.3775456	.565	.77	.877	.002	.548																		2	3			
9	"Allonneau"	6			"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"	"Not Seated"	.95	.699	-.715	.982	.4592088	-.8146416													-.136	-.823	.988	.07	-.123																						
10	"Amiot"	7			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.911	.825	-.013	.979	.6641664	-.103776													-.524	-.094	.979	.005	-.47											2	"not dissident"	0									
